
"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla-population","etla-hierarchy","tlac-population","tlac-hierarchy","ocot-population","ocot-hierarchy"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.71875","0.25","0.65625","32","9","1.7777777777777777","10","1.4","13","1.9230769230769231"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","12","2.2857142857142856","0.25","0.6428571428571429","21","10","2.1","7","2.5714285714285716","4","2.25"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","13","2.2857142857142856","0.25","0.6428571428571429","21","10","2.1","7","2.5714285714285716","4","2.25"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","14","2.3333333333333335","0.25","0.6428571428571429","21","10","2.2","7","2.5714285714285716","4","2.25"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","15","2.3333333333333335","0.25","0.6428571428571429","21","10","2.2","7","2.5714285714285716","4","2.25"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","16","2.3333333333333335","0.25","0.6428571428571429","21","10","2.2","7","2.5714285714285716","4","2.25"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.5217391304347827","0.22826086956521738","0.6521739130434783","23","11","1.6363636363636365","5","1.6","7","1.2857142857142858"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","17","2.3333333333333335","0.25","0.6428571428571429","21","10","2.2","7","2.5714285714285716","4","2.25"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.3333333333333335","0.25","0.6428571428571429","21","11","2.4545454545454546","3","2.3333333333333335","7","2.142857142857143"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.238095238095238","0.21428571428571427","0.7142857142857143","21","12","2.5","6","2.1666666666666665","3","1.3333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.607142857142857","0.24107142857142858","0.6160714285714286","28","16","3.0625","5","2.2","7","1.8571428571428572"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","2.642857142857143","0.24107142857142858","0.6160714285714286","28","16","3.125","5","2.2","7","1.8571428571428572"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","9","2.642857142857143","0.24107142857142858","0.6160714285714286","28","16","3.125","5","2.2","7","1.8571428571428572"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","18","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","1.7741935483870968","0.25","0.6612903225806451","31","10","1.8","9","1.4444444444444444","12","2"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","19","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
